1,Show de improvizație,"Pe 15 noiembrie Trupa iELE joaca pentru prima oara la Club 99. Ne continuam datoria de a readuce zambetul pe buze. Cu emotie, cu dorinta de joc si cu drag. Pentru ca asta stim sa facem si o facem bine. Daca doresti sa ni te alaturi, te asteptam duminica, de la ora 21. Este necesar sa faci rezervare, asa ca suna la 0733 500 301. Toate incasarile vor merge catre victimele Colectiv. Sa ne vedem cu bine!",club 99,București,Trupa iELE,Trupa Iele_Spectacol 1.jpg,July Nagy; Camelia Pintilie; Adriana Bordeanu; Victoria Raileanu; Delia Alexandra Riciu,90,0733 500 301.,18,https://www.facebook.com/events/508940779283091/?active_tab=about,2016-12-15 20:30:00
2,Improvizație,"Dupa succesul nebun din festivalul de Impro, ne-am gandit sa impartasim din talentul nostru si cu restul Bucurestiului. Asa ca joia asta, pe 1 oct, de la ora 20, te asteptam cu drag si cu chef de joc la Clubul Taranului. Intra cine vrea, plateste cui ii place. E nevoie de rezervari, caci locurile se dau ca painea calda, asa ca sunati cu incredere la 0723.336.528.",Clubul Taranului,București,Trupa iELE,Trupa Iele_Spectacol 2.jpg,July Nagy; Camelia Pintilie; Adriana Bordeanu; Victoria Raileanu; Delia Alexandra Riciu,60,0723.336.528,18,https://www.facebook.com/events/166651423676825/?active_tab=about,2016-12-08 20:00:00
3,Miercurea de iELE,"Miercuri seara la In Culise,de la ora 19, se intampla sa fie spectacolul care e motivul pentru care tu zambesti. Noi, prima trupa feminina de teatru de improvizatie, te asteptam sa sfidam impreuna limitele imaginatiei. Tu vii cu propuneri si noi le dam viata pe loc. Fara sa avem scenariu, regie, costume sau recuzita. Pur si simplu spontan. Pentru ca ne place sa fim motivul pentru care seara ta e mai buna. Rezervari la 0735 026 762/0723 336 528 sau pe http://inculise.ro/rezervari-online",In Culise,București,Trupa iELE,trupa Iele_Spectacol 3.jpg,July Nagy; Camelia Pintilie; Adriana Bordeanu; Victoria Raileanu; Delia Alexandra Riciu,90,http://inculise.ro/rezervari-online,18,https://www.facebook.com/events/1582720101970418/,2017-01-11 20:00:00
4,iELE și Backstage Boys,"In Coppers Pub- In Culise, adica pe Hristo Botev nr 25, are loc cea mai potrivita potrivire a improvizatorilor! iELE si Backstage Boys isi reunesc fortele pentru a crea un spectacol unic, inedit, frumos, echilibrat si cuceritor! Pana acum intalnirea dintre cele doua trupe s-a lasat numai cu.....Dar mai bine hai sa experimentezi efectul iELE&Backstage Boys! Incepem de la 21.30! ",In Culise,București,Trupa iELE,trupa Iele_Spectacol 4.jpg,July Nagy; Camelia Pintilie; Adriana Bordeanu; Victoria Raileanu; Delia Alexandra Riciu; Vlad Șpilcă; Stefan Huluba; Vlad Mihu; Catalin Cosarca; Sever Andrei,60,http://inculise.ro/rezervari-online,18,https://www.facebook.com/events/1554634881466740/,2017-02-27 21:30:00
5,Zeii adevărați sosesc!,"Dupa ce nu te mai gandesti, nu mai vorbesti si nu mai repeti evenimentele negative si emotiile pe care le determina, ""adevaratii zei"" sau emotiile pozitive iti vor umple mintea si inima. Noi lasam adevaratii zei sa vina la tine prin cadrul acestui spectacol de teatru de improvizatie, care este o forma de teatru spontana ce se bazeaza pe emotii, intrigi, personaje,dialog si intuitie, fiind creata pe loc. Totul se desfasoara fara repetitii, actiunea este dezvoltata cu ajutorul publicului, fiecare spectacol fiind garantat original. Spontaneitatea ce naste acest spectacol e cea care provoaca rasul si permite crearea unor momente comice de aur. Asadar... Troopa Obligó si Copper's Pub te așteaptă doar pe tine și pe tine și pe tine și numai pe tine într-o atmosferă sublimă de râs și voie bună! Decide astazi ca vei fi o persoana fericita pe deplin! Apoi intreaba-te: Care sunt lucrurile din viata mea care ma fac sa fiu nefericit? Indiferent care va fi raspunsul tau, preia controlul asupra emotiilor si acorda-ti sansa unui spectacol Obligo. ",Coppers Pub,București,Trupa Obligó,Trupa Obligo_Spectacol 1.jpg,Alex Csesimi; Alexandru Rizescu; Serban Trimbitasu; Dan Murzea,90,0766.898.727,18,https://www.facebook.com/events/2134337753457494/,2016-11-22 21:00:00
6,ImproShow Obligo,"Spectalcolul se va desfasura numai pe baza propunerilor publicului, fara existenta unui scenariu. Singurul lucru stabilit in prealabil fiind doar faptul ca vom avea 8 jocuri (probe), iar in fiecare dintre acestea, actorii vor trebui sa respecte un anumit obligo (regula). Pe langa doza recomandata de umor de bun gust pe care o veti primi, veti castiga o perceptie mult mai senina a problemelor de fond cu care va loviti in timpul saptamanii. Spectacolul se adreseaza publicului larg fiind lipsit de trivialitati. Vino sa-ti gadilam mintea pana-ti stranuta neuronii!",Terasa Florilor,București,Trupa Obligó,trupa Obligo_Spectacol 2.jpg,Alex Csesimi; Alexandru Rizescu; Serban Trimbitasu; Dan Murzea,180,0755.097.931,18,https://www.facebook.com/events/332683290456460/,2017-01-16 20:00:00
7,Obligo în Sighișoara,"Salutare Sighisoara!!! Aici incepe comedia ! Trupa Obligó are placerea sa va invite la un show unic de improvizatie in Sighisoara, in care veti putea vedea cum actorii plasmuisec din propunerile voastre un intreg spectacol (fara regie, fara texte invatate sau scenarii). Acest spectacol se naste pe moment in fata ta si il poti creste ca pe un copil, iar mamicile si taticii lui, actorii Trupei Obligó, noua generatie de comici ai Romaniei, iti asigura un show de entertainment live, un spectacol interactiv in care TU publicul participi direct si razi non-stop. ",Vintage,Sighișoara,Trupa Obligó,trupa Obligo_Spectacol 3.jpg,Alex Csesimi; Alexandru Rizescu; Serban Trimbitasu; Dan Murzea,120,0365 430 685,18,https://www.facebook.com/events/1702449649996584/,2016-12-03 20:00:00
8,Improvizație cu Obligo în Pasaj,"Spectacol unic de improvizatie teatrala ce se va intampla Duminica asta in Club Pasaj alaturi de Trupa de teatru de improvizatie Obligó. Spectalcolul se va desfasura numai pe baza propunerilor publicului, fara existenta unui scenariu. Singurul lucru stabilit in prealabil fiind doar faptul ca vom avea 8 jocuri (probe), iar in fiecare dintre acestea, actorii vor trebui sa respecte un anumit obligo (regula). Pe langa doza recomandata de umor de bun gust pe care o veti primi, veti castiga o perceptie mult mai senina a problemelor de fond cu care va loviti in timpul saptamanii. Spectacolul se adreseaza publicului larg fiind lipsit de trivialitati. Vino sa-ti gadilam mintea pana-ti stranuta neuronii!",Club Pasaj,Ploiești,Trupa Obligó,trupa Obligo_Spectacol 4.jpg,Bogdan Untilă; Alexandru Rizescu; Serban Trimbitasu; Dan Murzea; Alexandru Mihalache,180,0726.513.391,18,https://www.facebook.com/events/1001334629926957/,2017-12-09 20:00:00
9,"Textul, înainte de toate","Comedia ”Textul, înainte de toate” este un spectacol care s-a plimbat mult prin țară, care a descrețit frunți, a adus zâmbete și hohote de râs! ”Textul, înainte de toate” de Doru Moțoc, în regia lui Mihai Lungeanu este un spectacol despre lumea din spatele cortinei, o repetiție deschisă care se vrea a fi serioasă, dar care este întreruptă de femeia de serviciu, Tanti Gherghina, care este invitată să participe și chiar să dea sfaturi.",Zai Après-Café Timisoara,Timișoara,Teatrul Portabil,Teatrul Portabil_Spectacol 1.jpg,Sebastian Vâlcea; Raluca Grumăzescu; Cristi Dionise; Claudia Drăgan; Rareș Zimbran,90,https://www.facebook.com/events/269574810058707/,18,https://www.facebook.com/events/269574810058707/,2016-11-28 20:00:00
10,O comedie despre insomnie,"Vă invităm să savurăm împreună o comedie despre insomnia unui bărbat care nu se ridică la noile standarde ale soţiei sale, proaspăt ""culturalizată”. Erasm şi Rodica Vasiliu întâmpină prima lor problemă conjugală, pe care încearcă să o rezolve cum pot şi ştiu ei mai bine. Acțiunea este cât se poate de simplă, dar schimbările de situaţie fac deliciul spectacolului.",Cafe DEKO,București,Teatrul Portabil,Teatrul Portabil_Spectacol 2.jpg,Cristi Dionise; Claudia Drăgan; Mihai Lungeanu,120,0733 562 233,18,https://www.facebook.com/events/1651841461716619/,2017-12-18 20:00:00
11,Bârfe! Secrete împărtășite,"Când unul dintre cei trei prieteni nu știe că ceilalți știu ceea ce el nu vrea să se știe, avem premizele pentru comedie. Un spectacol plin de intrigi și complicitate, presărat cu secrete și sugestii de la public, într-o atmosferă casnică, dar inconfortabilă pentru protagoniști.",Recul,București,Recul,Recul_Spectacol 1.jpg,Dan Codreanu; Andrei Bratu; Dan Miron,180,0730 744 682,18,https://www.facebook.com/events/210323092710962/,2016-11-28 20:00:00
